"DateTime","Players","Average Players"
"2020-01-04 00:00:00",108822,
"2020-01-05 00:00:00",101323,
"2020-01-06 00:00:00",87470,
"2020-01-07 00:00:00",91366,
"2020-01-08 00:00:00",93526,
"2020-01-09 00:00:00",84978,
"2020-01-10 00:00:00",84377,
"2020-01-11 00:00:00",97568,
"2020-01-12 00:00:00",95504,
"2020-01-13 00:00:00",73697,
"2020-01-14 00:00:00",73681,
"2020-01-15 00:00:00",74660,
"2020-01-16 00:00:00",66456,
"2020-01-17 00:00:00",69093,
"2020-01-18 00:00:00",80818,
"2020-01-19 00:00:00",80092,
"2020-01-20 00:00:00",74951,
"2020-01-21 00:00:00",70820,
"2020-01-22 00:00:00",70863,
"2020-01-23 00:00:00",65144,
"2020-01-24 00:00:00",68169,
"2020-01-25 00:00:00",77319,
"2020-01-26 00:00:00",78955,
"2020-01-27 00:00:00",60484,
"2020-01-28 00:00:00",62678,
"2020-01-29 00:00:00",70814,
"2020-01-30 00:00:00",65382,
"2020-01-31 00:00:00",68270,
"2020-02-01 00:00:00",80874,
"2020-02-02 00:00:00",81405,
"2020-02-03 00:00:00",64275,
"2020-02-04 00:00:00",74496,
"2020-02-05 00:00:00",75655,
"2020-02-06 00:00:00",70525,
"2020-02-07 00:00:00",74149,
"2020-02-08 00:00:00",85849,
"2020-02-09 00:00:00",86088,
"2020-02-10 00:00:00",69840,
"2020-02-11 00:00:00",70097,
"2020-02-12 00:00:00",88192,
"2020-02-13 00:00:00",81259,
"2020-02-14 00:00:00",79465,
"2020-02-15 00:00:00",92188,
"2020-02-16 00:00:00",92839,
"2020-02-17 00:00:00",78419,
"2020-02-18 00:00:00",77569,
"2020-02-19 00:00:00",84475,
"2020-02-20 00:00:00",79880,
"2020-02-21 00:00:00",82649,
"2020-02-22 00:00:00",92065,
"2020-02-23 00:00:00",90435,
"2020-02-24 00:00:00",77709,
"2020-02-25 00:00:00",76407,
"2020-02-26 00:00:00",84381,
"2020-02-27 00:00:00",79023,
"2020-02-28 00:00:00",79558,
"2020-02-29 00:00:00",93069,
"2020-03-01 00:00:00",89078,
"2020-03-02 00:00:00",71083,
"2020-03-03 00:00:00",71996,
"2020-03-04 00:00:00",80575,
"2020-03-05 00:00:00",77024,
"2020-03-06 00:00:00",81138,
"2020-03-07 00:00:00",92817,
"2020-03-08 00:00:00",89927,
"2020-03-09 00:00:00",76503,
"2020-03-10 00:00:00",115465,
"2020-03-11 00:00:00",107914,
"2020-03-12 00:00:00",102333,
"2020-03-13 00:00:00",112027,
"2020-03-14 00:00:00",118149,
"2020-03-15 00:00:00",115332,
"2020-03-16 00:00:00",95706,
"2020-03-17 00:00:00",119116,
"2020-03-18 00:00:00",104631,
"2020-03-19 00:00:00",96649,
"2020-03-20 00:00:00",103644,
"2020-03-21 00:00:00",103580,
"2020-03-22 00:00:00",98828,
"2020-03-23 00:00:00",82403,
"2020-03-24 00:00:00",109794,
"2020-03-25 00:00:00",99532,
"2020-03-26 00:00:00",93382,
"2020-03-27 00:00:00",101133,
"2020-03-28 00:00:00",99372,
"2020-03-29 00:00:00",97371,
"2020-03-30 00:00:00",85719,
"2020-03-31 00:00:00",89422,
"2020-04-01 00:00:00",86698,
"2020-04-02 00:00:00",82895,
"2020-04-03 00:00:00",91925,
"2020-04-04 00:00:00",95985,
"2020-04-05 00:00:00",89446,
"2020-04-06 00:00:00",78860,
"2020-04-07 00:00:00",92162,
"2020-04-08 00:00:00",84961,
"2020-04-09 00:00:00",80368,
"2020-04-10 00:00:00",85305,
"2020-04-11 00:00:00",84601,
"2020-04-12 00:00:00",79774,
"2020-04-13 00:00:00",76319,
"2020-04-14 00:00:00",82092,
"2020-04-15 00:00:00",80108,
"2020-04-16 00:00:00",74188,
"2020-04-17 00:00:00",76904,
"2020-04-18 00:00:00",82930,
"2020-04-19 00:00:00",77906,
"2020-04-20 00:00:00",67811,
"2020-04-21 00:00:00",101389,
"2020-04-22 00:00:00",87650,
"2020-04-23 00:00:00",81855,
"2020-04-24 00:00:00",85883,
"2020-04-25 00:00:00",87089,
"2020-04-26 00:00:00",83351,
"2020-04-27 00:00:00",71019,
"2020-04-28 00:00:00",80218,
"2020-04-29 00:00:00",74370,
"2020-04-30 00:00:00",71436,
"2020-05-01 00:00:00",75913,
"2020-05-02 00:00:00",75095,
"2020-05-03 00:00:00",73048,
"2020-05-04 00:00:00",62131,
"2020-05-05 00:00:00",72057,
"2020-05-06 00:00:00",67879,
"2020-05-07 00:00:00",65046,
"2020-05-08 00:00:00",69720,
"2020-05-09 00:00:00",74499,
"2020-05-10 00:00:00",71045,
"2020-05-11 00:00:00",63390,
"2020-05-12 00:00:00",76972,
"2020-05-13 00:00:00",67408,
"2020-05-14 00:00:00",64249,
"2020-05-15 00:00:00",64492,
"2020-05-16 00:00:00",67405,
"2020-05-17 00:00:00",61711,
"2020-05-18 00:00:00",61119,
"2020-05-19 00:00:00",61192,
"2020-05-20 00:00:00",54640,
"2020-05-21 00:00:00",61969,
"2020-05-22 00:00:00",60036,
"2020-05-23 00:00:00",62433,
"2020-05-24 00:00:00",58786,
"2020-05-25 00:00:00",57599,
"2020-05-26 00:00:00",59758,
"2020-05-27 00:00:00",52932,
"2020-05-28 00:00:00",49351,
"2020-05-29 00:00:00",54389,
"2020-05-30 00:00:00",57361,
"2020-05-31 00:00:00",53629,
"2020-06-01 00:00:00",49075,
"2020-06-02 00:00:00",60636,
"2020-06-03 00:00:00",52673,
"2020-06-04 00:00:00",52379,
"2020-06-05 00:00:00",59406,
"2020-06-06 00:00:00",214725,
"2020-06-07 00:00:00",62814,
"2020-06-08 00:00:00",57489,
"2020-06-09 00:00:00",172109,
"2020-06-10 00:00:00",134321,
"2020-06-11 00:00:00",120300,
"2020-06-12 00:00:00",134352,
"2020-06-13 00:00:00",151991,
"2020-06-14 00:00:00",166053,
"2020-06-15 00:00:00",157794,
"2020-06-16 00:00:00",134180,
"2020-06-17 00:00:00",110167,
"2020-06-18 00:00:00",103984,
"2020-06-19 00:00:00",98717,
"2020-06-20 00:00:00",95368,
"2020-06-21 00:00:00",87784,
"2020-06-22 00:00:00",85600,
"2020-06-23 00:00:00",108807,
"2020-06-24 00:00:00",92084,
"2020-06-25 00:00:00",83584,
"2020-06-26 00:00:00",84814,
"2020-06-27 00:00:00",85815,
"2020-06-28 00:00:00",87437,
"2020-06-29 00:00:00",77831,
"2020-06-30 00:00:00",110552,
"2020-07-01 00:00:00",90844,
"2020-07-02 00:00:00",82019,
"2020-07-03 00:00:00",89247,
"2020-07-04 00:00:00",82326,
"2020-07-05 00:00:00",85316,
"2020-07-06 00:00:00",76570,
"2020-07-07 00:00:00",122873,
"2020-07-08 00:00:00",113549,
"2020-07-09 00:00:00",94668,
"2020-07-10 00:00:00",95994,
"2020-07-11 00:00:00",96035,
"2020-07-12 00:00:00",94760,
"2020-07-13 00:00:00",83053,
"2020-07-14 00:00:00",102633,
"2020-07-15 00:00:00",86158,
"2020-07-16 00:00:00",78955,
"2020-07-17 00:00:00",81229,
"2020-07-18 00:00:00",81772,
"2020-07-19 00:00:00",84030,
"2020-07-20 00:00:00",73016,
"2020-07-21 00:00:00",92391,
"2020-07-22 00:00:00",79036,
"2020-07-23 00:00:00",71643,
"2020-07-24 00:00:00",76264,
"2020-07-25 00:00:00",77453,
"2020-07-26 00:00:00",79424,
"2020-07-27 00:00:00",69115,
"2020-07-28 00:00:00",86646,
"2020-07-29 00:00:00",76605,
"2020-07-30 00:00:00",69020,
"2020-07-31 00:00:00",71644,
"2020-08-01 00:00:00",73917,
"2020-08-02 00:00:00",78591,
"2020-08-03 00:00:00",69572,
"2020-08-04 00:00:00",88195,
"2020-08-05 00:00:00",77225,
"2020-08-06 00:00:00",69522,
"2020-08-07 00:00:00",72350,
"2020-08-08 00:00:00",73705,
"2020-08-09 00:00:00",74374,
"2020-08-10 00:00:00",66265,
"2020-08-11 00:00:00",122571,
"2020-08-12 00:00:00",107756,
"2020-08-13 00:00:00",93343,
"2020-08-14 00:00:00",92240,
"2020-08-15 00:00:00",89967,
"2020-08-16 00:00:00",90278,
"2020-08-17 00:00:00",75215,
"2020-08-18 00:00:00",80460,
"2020-08-19 00:00:00",71964,
"2020-08-20 00:00:00",65726,
"2020-08-21 00:00:00",73150,
"2020-08-22 00:00:00",75951,
"2020-08-23 00:00:00",75878,
"2020-08-24 00:00:00",65343,
"2020-08-25 00:00:00",75571,
"2020-08-26 00:00:00",65693,
"2020-08-27 00:00:00",60563,
"2020-08-28 00:00:00",69536,
"2020-08-29 00:00:00",73737,
"2020-08-30 00:00:00",75036,
"2020-08-31 00:00:00",61206,
"2020-09-01 00:00:00",71177,
"2020-09-02 00:00:00",62535,
"2020-09-03 00:00:00",56993,
"2020-09-04 00:00:00",65938,
"2020-09-05 00:00:00",69112,
"2020-09-06 00:00:00",67906,
"2020-09-07 00:00:00",70749,
"2020-09-08 00:00:00",98491,
"2020-09-09 00:00:00",76444,
"2020-09-10 00:00:00",64731,
"2020-09-11 00:00:00",71323,
"2020-09-12 00:00:00",76615,
"2020-09-13 00:00:00",72801,
"2020-09-14 00:00:00",59670,
"2020-09-15 00:00:00",74386,
"2020-09-16 00:00:00",63093,
"2020-09-17 00:00:00",58794,
"2020-09-18 00:00:00",65265,
"2020-09-19 00:00:00",70001,
"2020-09-20 00:00:00",67026,
"2020-09-21 00:00:00",56291,
"2020-09-22 00:00:00",71281,
"2020-09-23 00:00:00",59173,
"2020-09-24 00:00:00",54126,
"2020-09-25 00:00:00",62974,
"2020-09-26 00:00:00",65196,
"2020-09-27 00:00:00",64095,
"2020-09-28 00:00:00",52308,
"2020-09-29 00:00:00",64918,
"2020-09-30 00:00:00",55254,
"2020-10-01 00:00:00",52384,
"2020-10-02 00:00:00",58547,
"2020-10-03 00:00:00",62544,
"2020-10-04 00:00:00",61699,
"2020-10-05 00:00:00",52857,
"2020-10-06 00:00:00",94557,
"2020-10-07 00:00:00",70434,
"2020-10-08 00:00:00",65249,
"2020-10-09 00:00:00",70425,
"2020-10-10 00:00:00",74638,
"2020-10-11 00:00:00",71961,
"2020-10-12 00:00:00",65647,
"2020-10-13 00:00:00",67099,
"2020-10-14 00:00:00",58045,
"2020-10-15 00:00:00",53823,
"2020-10-16 00:00:00",62524,
"2020-10-17 00:00:00",64638,
"2020-10-18 00:00:00",63888,
"2020-10-19 00:00:00",54069,
"2020-10-20 00:00:00",66068,
"2020-10-21 00:00:00",58586,
"2020-10-22 00:00:00",55848,
"2020-10-23 00:00:00",65271,
"2020-10-24 00:00:00",69339,
"2020-10-25 00:00:00",70217,
"2020-10-26 00:00:00",59514,
"2020-10-27 00:00:00",68959,
"2020-10-28 00:00:00",62669,
"2020-10-29 00:00:00",61649,
"2020-10-30 00:00:00",67418,
"2020-10-31 00:00:00",69068,
"2020-11-01 00:00:00",71359,
"2020-11-02 00:00:00",61613,
"2020-11-03 00:00:00",73490,
"2020-11-04 00:00:00",63916,
"2020-11-05 00:00:00",65015,
"2020-11-06 00:00:00",72512,
"2020-11-07 00:00:00",83554,
"2020-11-08 00:00:00",83680,
"2020-11-09 00:00:00",104470,
"2020-11-10 00:00:00",242284,
"2020-11-11 00:00:00",235891,
"2020-11-12 00:00:00",183235,
"2020-11-13 00:00:00",165705,
"2020-11-14 00:00:00",168471,
"2020-11-15 00:00:00",159992,
"2020-11-16 00:00:00",131994,
"2020-11-17 00:00:00",169444,
"2020-11-18 00:00:00",145250,
"2020-11-19 00:00:00",130397,
"2020-11-20 00:00:00",130919,
"2020-11-21 00:00:00",196805,
"2020-11-22 00:00:00",198676,
"2020-11-23 00:00:00",135954,
"2020-11-24 00:00:00",144804,
"2020-11-25 00:00:00",130702,
"2020-11-26 00:00:00",118953,
"2020-11-27 00:00:00",124726,
"2020-11-28 00:00:00",123122,
"2020-11-29 00:00:00",113841,
"2020-11-30 00:00:00",94838,
"2020-12-01 00:00:00",115184,
"2020-12-02 00:00:00",106303,
"2020-12-03 00:00:00",89392,
"2020-12-04 00:00:00",88029,
"2020-12-05 00:00:00",97207,
"2020-12-06 00:00:00",91799,
"2020-12-07 00:00:00",72041,
"2020-12-08 00:00:00",141667,
"2020-12-09 00:00:00",123787,
"2020-12-10 00:00:00",81558,
"2020-12-11 00:00:00",79830,
"2020-12-12 00:00:00",86457,
"2020-12-13 00:00:00",82012,
"2020-12-14 00:00:00",66756,
"2020-12-15 00:00:00",110318,
"2020-12-16 00:00:00",100036,
"2020-12-17 00:00:00",80718,
"2020-12-18 00:00:00",85242,
"2020-12-19 00:00:00",85401,
"2020-12-20 00:00:00",79542,
"2020-12-21 00:00:00",67830,
"2020-12-22 00:00:00",85448,
"2020-12-23 00:00:00",75166,
"2020-12-24 00:00:00",64847,
"2020-12-25 00:00:00",63054,
"2020-12-26 00:00:00",70062,
"2020-12-27 00:00:00",69175,
"2020-12-28 00:00:00",62920,
"2020-12-29 00:00:00",82321,
"2020-12-30 00:00:00",72243,
"2020-12-31 00:00:00",63175,
"2021-01-01 00:00:00",74361,
"2021-01-02 00:00:00",68723,
"2021-01-03 00:00:00",64618,
"2021-01-04 00:00:00",54443,
"2021-01-05 00:00:00",79523,
"2021-01-06 00:00:00",69941,
"2021-01-07 00:00:00",56542,
"2021-01-08 00:00:00",60411,
"2021-01-09 00:00:00",62979,
"2021-01-10 00:00:00",58148,
"2021-01-11 00:00:00",46870,
"2021-01-12 00:00:00",57935,
"2021-01-13 00:00:00",50920,
"2021-01-14 00:00:00",42905,
"2021-01-15 00:00:00",49078,
"2021-01-16 00:00:00",52775,
"2021-01-17 00:00:00",48408,
"2021-01-18 00:00:00",42917,
"2021-01-19 00:00:00",71574,
"2021-01-20 00:00:00",60786,
"2021-01-21 00:00:00",46379,
"2021-01-22 00:00:00",51627,
"2021-01-23 00:00:00",54787,
"2021-01-24 00:00:00",50583,
"2021-01-25 00:00:00",40804,
"2021-01-26 00:00:00",56294,
"2021-01-27 00:00:00",47115,
"2021-01-28 00:00:00",40920,
"2021-01-29 00:00:00",48009,
"2021-01-30 00:00:00",52476,
"2021-01-31 00:00:00",50466,
"2021-02-01 00:00:00",41386,
"2021-02-02 00:00:00",60876,
"2021-02-03 00:00:00",52028,
"2021-02-04 00:00:00",44345,
"2021-02-05 00:00:00",49102,
"2021-02-06 00:00:00",53597,
"2021-02-07 00:00:00",51327,
"2021-02-08 00:00:00",43781,
"2021-02-09 00:00:00",132255,
"2021-02-10 00:00:00",101705,
"2021-02-11 00:00:00",83811,
"2021-02-12 00:00:00",89087,
"2021-02-13 00:00:00",93969,
"2021-02-14 00:00:00",86295,
"2021-02-15 00:00:00",80876,
"2021-02-16 00:00:00",108135,
"2021-02-17 00:00:00",95084,
"2021-02-18 00:00:00",84571,
"2021-02-19 00:00:00",85674,
"2021-02-20 00:00:00",86863,
"2021-02-21 00:00:00",82776,
"2021-02-22 00:00:00",68530,
"2021-02-23 00:00:00",94136,
"2021-02-24 00:00:00",87958,
"2021-02-25 00:00:00",70882,
"2021-02-26 00:00:00",78935,
"2021-02-27 00:00:00",83797,
"2021-02-28 00:00:00",80429,
"2021-03-01 00:00:00",63500,
"2021-03-02 00:00:00",86182,
"2021-03-03 00:00:00",73327,
"2021-03-04 00:00:00",64134,
"2021-03-05 00:00:00",71132,
"2021-03-06 00:00:00",76299,
"2021-03-07 00:00:00",72983,
"2021-03-08 00:00:00",57150,
"2021-03-09 00:00:00",80250,
"2021-03-10 00:00:00",67136,
"2021-03-11 00:00:00",57797,
"2021-03-12 00:00:00",70315,
"2021-03-13 00:00:00",75306,
"2021-03-14 00:00:00",70107,
"2021-03-15 00:00:00",57654,
"2021-03-16 00:00:00",80231,
"2021-03-17 00:00:00",64969,
"2021-03-18 00:00:00",58542,
"2021-03-19 00:00:00",72629,
"2021-03-20 00:00:00",73134,
"2021-03-21 00:00:00",64007,
"2021-03-22 00:00:00",58418,
"2021-03-23 00:00:00",87492,
"2021-03-24 00:00:00",72300,
"2021-03-25 00:00:00",63730,
"2021-03-26 00:00:00",72563,
"2021-03-27 00:00:00",73611,
"2021-03-28 00:00:00",72895,
"2021-03-29 00:00:00",59193,
"2021-03-30 00:00:00",75363,
"2021-03-31 00:00:00",62614,
"2021-04-01 00:00:00",57180,
"2021-04-02 00:00:00",69907,
"2021-04-03 00:00:00",63870,
"2021-04-04 00:00:00",59825,
"2021-04-05 00:00:00",52765,
"2021-04-06 00:00:00",68790,
"2021-04-07 00:00:00",53615,
"2021-04-08 00:00:00",51594,
"2021-04-09 00:00:00",58986,
"2021-04-10 00:00:00",61555,
"2021-04-11 00:00:00",58887,
"2021-04-12 00:00:00",47109,
"2021-04-13 00:00:00",66212,
"2021-04-14 00:00:00",52235,
"2021-04-15 00:00:00",49769,
"2021-04-16 00:00:00",60153,
"2021-04-17 00:00:00",61683,
"2021-04-18 00:00:00",58357,
"2021-04-19 00:00:00",47608,
"2021-04-20 00:00:00",95331,
"2021-04-21 00:00:00",74296,
"2021-04-22 00:00:00",61920,
"2021-04-23 00:00:00",64977,
"2021-04-24 00:00:00",69121,
"2021-04-25 00:00:00",65462,
"2021-04-26 00:00:00",51601,
"2021-04-27 00:00:00",61138,
"2021-04-28 00:00:00",50944,
"2021-04-29 00:00:00",49518,
"2021-04-30 00:00:00",57567,
"2021-05-01 00:00:00",57969,
"2021-05-02 00:00:00",57062,
"2021-05-03 00:00:00",48269,
"2021-05-04 00:00:00",66376,
"2021-05-05 00:00:00",53662,
"2021-05-06 00:00:00",49367,
"2021-05-07 00:00:00",59706,
"2021-05-08 00:00:00",63325,
"2021-05-09 00:00:00",59312,
"2021-05-10 00:00:00",54895,
"2021-05-11 00:00:00",157679,
"2021-05-12 00:00:00",143897,
"2021-05-13 00:00:00",104615,
"2021-05-14 00:00:00",103529,
"2021-05-15 00:00:00",105920,
"2021-05-16 00:00:00",105492,
"2021-05-17 00:00:00",86286,
"2021-05-18 00:00:00",124567,
"2021-05-19 00:00:00",107519,
"2021-05-20 00:00:00",94827,
"2021-05-21 00:00:00",104758,
"2021-05-22 00:00:00",187599,
"2021-05-23 00:00:00",160252,
"2021-05-24 00:00:00",108531,
"2021-05-25 00:00:00",129767,
"2021-05-26 00:00:00",112073,
"2021-05-27 00:00:00",94101,
"2021-05-28 00:00:00",94411,
"2021-05-29 00:00:00",92506,
"2021-05-30 00:00:00",88389,
"2021-05-31 00:00:00",84102,
"2021-06-01 00:00:00",108572,
"2021-06-02 00:00:00",93836,
"2021-06-03 00:00:00",80500,
"2021-06-04 00:00:00",83331,
"2021-06-05 00:00:00",84716,
"2021-06-06 00:00:00",83726,
"2021-06-07 00:00:00",69812,
"2021-06-08 00:00:00",105997,
"2021-06-09 00:00:00",90226,
"2021-06-10 00:00:00",73555,
"2021-06-11 00:00:00",75496,
"2021-06-12 00:00:00",74869,
"2021-06-13 00:00:00",73198,
"2021-06-14 00:00:00",65189,
"2021-06-15 00:00:00",88772,
"2021-06-16 00:00:00",75666,
"2021-06-17 00:00:00",61434,
"2021-06-18 00:00:00",65207,
"2021-06-19 00:00:00",64431,
"2021-06-20 00:00:00",61976,
"2021-06-21 00:00:00",55171,
"2021-06-22 00:00:00",85341,
"2021-06-23 00:00:00",69580,
"2021-06-24 00:00:00",57409,
"2021-06-25 00:00:00",60727,
"2021-06-26 00:00:00",60712,
"2021-06-27 00:00:00",60724,
"2021-06-28 00:00:00",51560,
"2021-06-29 00:00:00",87104,
"2021-06-30 00:00:00",69578,
"2021-07-01 00:00:00",59596,
"2021-07-02 00:00:00",63324,
"2021-07-03 00:00:00",62450,
"2021-07-04 00:00:00",62438,
"2021-07-05 00:00:00",63493,
"2021-07-06 00:00:00",116526,
"2021-07-07 00:00:00",86998,
"2021-07-08 00:00:00",85808,
"2021-07-09 00:00:00",78384,
"2021-07-10 00:00:00",77506,
"2021-07-11 00:00:00",73521,
"2021-07-12 00:00:00",65945,
"2021-07-13 00:00:00",75971,
"2021-07-14 00:00:00",69187,
"2021-07-15 00:00:00",60109,
"2021-07-16 00:00:00",61664,
"2021-07-17 00:00:00",62338,
"2021-07-18 00:00:00",63029,
"2021-07-19 00:00:00",55781,
"2021-07-20 00:00:00",65192,
"2021-07-21 00:00:00",59408,
"2021-07-22 00:00:00",52317,
"2021-07-23 00:00:00",52620,
"2021-07-24 00:00:00",54769,
"2021-07-25 00:00:00",55109,
"2021-07-26 00:00:00",47993,
"2021-07-27 00:00:00",63601,
"2021-07-28 00:00:00",59306,
"2021-07-29 00:00:00",53105,
"2021-07-30 00:00:00",53538,
"2021-07-31 00:00:00",55567,
"2021-08-01 00:00:00",58011,
"2021-08-02 00:00:00",50857,
"2021-08-03 00:00:00",63158,
"2021-08-04 00:00:00",56181,
"2021-08-05 00:00:00",48885,
"2021-08-06 00:00:00",48632,
"2021-08-07 00:00:00",50774,
"2021-08-08 00:00:00",52502,
"2021-08-09 00:00:00",45307,
"2021-08-10 00:00:00",71787,
"2021-08-11 00:00:00",53105,
"2021-08-12 00:00:00",46039,
"2021-08-13 00:00:00",46053,
"2021-08-14 00:00:00",48580,
"2021-08-15 00:00:00",50579,
"2021-08-16 00:00:00",43448,
"2021-08-17 00:00:00",58598,
"2021-08-18 00:00:00",45150,
"2021-08-19 00:00:00",44925,
"2021-08-20 00:00:00",53188,
"2021-08-21 00:00:00",56528,
"2021-08-22 00:00:00",61178,
"2021-08-23 00:00:00",53316,
"2021-08-24 00:00:00",178241,
"2021-08-25 00:00:00",157462,
"2021-08-26 00:00:00",128733,
"2021-08-27 00:00:00",127156,
"2021-08-28 00:00:00",136664,
"2021-08-29 00:00:00",142277,
"2021-08-30 00:00:00",121044,
"2021-08-31 00:00:00",151644,
"2021-09-01 00:00:00",147575,
"2021-09-02 00:00:00",127510,
"2021-09-03 00:00:00",120138,
"2021-09-04 00:00:00",129442,
"2021-09-05 00:00:00",131147,
"2021-09-06 00:00:00",133727,
"2021-09-07 00:00:00",133755,
"2021-09-08 00:00:00",128425,
"2021-09-09 00:00:00",112221,
"2021-09-10 00:00:00",120388,
"2021-09-11 00:00:00",134284,
"2021-09-12 00:00:00",131486,
"2021-09-13 00:00:00",116437,
"2021-09-14 00:00:00",141204,
"2021-09-15 00:00:00",135487,
"2021-09-16 00:00:00",114125,
"2021-09-17 00:00:00",123398,
"2021-09-18 00:00:00",127777,
"2021-09-19 00:00:00",125926,
"2021-09-20 00:00:00",110282,
"2021-09-21 00:00:00",125262,
"2021-09-22 00:00:00",104986,
"2021-09-23 00:00:00",108631,
"2021-09-24 00:00:00",110908,
"2021-09-25 00:00:00",118979,
"2021-09-26 00:00:00",118358,
"2021-09-27 00:00:00",101646,
"2021-09-28 00:00:00",112631,
"2021-09-29 00:00:00",111437,
"2021-09-30 00:00:00",95372,
"2021-10-01 00:00:00",90846,
"2021-10-02 00:00:00",96760,
"2021-10-03 00:00:00",96981,
"2021-10-04 00:00:00",83090,
"2021-10-05 00:00:00",105732,
"2021-10-06 00:00:00",99169,
"2021-10-07 00:00:00",80556,
"2021-10-08 00:00:00",84343,
"2021-10-09 00:00:00",90479,
"2021-10-10 00:00:00",93474,
"2021-10-11 00:00:00",80198,
"2021-10-12 00:00:00",128632,
"2021-10-13 00:00:00",117543,
"2021-10-14 00:00:00",96129,
"2021-10-15 00:00:00",94615,
"2021-10-16 00:00:00",101890,
"2021-10-17 00:00:00",101401,
"2021-10-18 00:00:00",85025,
"2021-10-19 00:00:00",86189,
"2021-10-20 00:00:00",84549,
"2021-10-21 00:00:00",72505,
"2021-10-22 00:00:00",81301,
"2021-10-23 00:00:00",87467,
"2021-10-24 00:00:00",86661,
"2021-10-25 00:00:00",73172,
"2021-10-26 00:00:00",79864,
"2021-10-27 00:00:00",76585,
"2021-10-28 00:00:00",67264,
"2021-10-29 00:00:00",73907,
"2021-10-30 00:00:00",78610,
"2021-10-31 00:00:00",77918,
"2021-11-01 00:00:00",64904,
"2021-11-02 00:00:00",76489,
"2021-11-03 00:00:00",76328,
"2021-11-04 00:00:00",67729,
"2021-11-05 00:00:00",63883,
"2021-11-06 00:00:00",70048,
"2021-11-07 00:00:00",69444,
"2021-11-08 00:00:00",60263,
"2021-11-09 00:00:00",61400,
"2021-11-10 00:00:00",61376,
"2021-11-11 00:00:00",55104,
"2021-11-12 00:00:00",59259,
"2021-11-13 00:00:00",64379,
"2021-11-14 00:00:00",62539,
